area,sex ratio,r cases,crimes,wine shops,men literacy,porn access,psych cases,desserted area,ring roads,slum areas,season,time of visit,outcome,class
0.0,0.36559139784946226,0.10000000000000009,0.5,0.30000000000000004,0.06666666666666643,0.0,0.10000000000000009,0.2,0.2857142857142857,0.0,1.0,0.0,0.22518321119253804,0.0
0.25,0.6182795698924732,0.925,0.2400000000000002,0.0,0.13333333333333286,0.19999999999999996,0.5,0.2,0.5714285714285714,0.5,0.3333333333333333,1.0,0.5357718510240481,1.0
0.5,0.8736559139784947,0.5250000000000001,0.16000000000000014,0.30000000000000004,0.1999999999999993,0.6000000000000001,0.6333333333333333,0.0,0.0,0.25,0.6666666666666667,1.0,0.7422363585566609,1.0
0.75,0.5403225806451613,0.7250000000000001,0.020000000000000018,0.9000000000000001,0.33333333333333304,0.40000000000000013,0.0,0.6000000000000001,1.0,0.25,0.0,0.0,0.40420364918011664,0.0
1.0,0.8763440860215057,0.8500000000000001,0.94,0.8,0.0,0.19999999999999996,0.5666666666666667,0.39999999999999997,1.0,0.0,0.3333333333333333,0.0,0.8934903612645333,1.0
0.25,0.8145161290322582,0.4750000000000001,0.52,0.30000000000000004,0.7999999999999998,0.8,0.43333333333333335,0.39999999999999997,0.42857142857142855,0.5,0.6666666666666667,1.0,0.7555608089230836,1.0
0.5,0.6048387096774193,0.10000000000000009,0.26000000000000023,0.40000000000000013,0.9333333333333327,0.19999999999999996,0.16666666666666674,0.39999999999999997,0.8571428571428571,0.0,1.0,1.0,0.47033160688573217,0.0
0.75,0.28494623655914,0.625,0.2200000000000002,0.6000000000000001,0.1999999999999993,0.0,0.33333333333333326,0.2,0.0,0.0,0.0,0.0,0.1742494251144402,0.0
1.0,0.4838709677419357,0.40000000000000013,0.98,0.40000000000000013,0.39999999999999947,0.6000000000000001,0.8999999999999999,0.39999999999999997,0.7142857142857142,0.0,0.3333333333333333,0.0,0.5139584363112766,0.0
0.0,0.6532258064516132,0.10000000000000009,0.8599999999999999,0.9000000000000001,0.7333333333333334,0.40000000000000013,0.8666666666666667,0.6000000000000001,0.0,0.5,1.0,1.0,0.6345017300294429,1.0
0.25,0.8736559139784947,0.75,0.7200000000000002,0.20000000000000018,0.9333333333333327,1.0,0.30000000000000004,0.8,0.42857142857142855,0.5,0.3333333333333333,0.0,0.8671853173153385,1.0
0.5,0.7849462365591398,0.75,0.96,1.0,0.33333333333333304,0.0,0.8333333333333333,0.39999999999999997,0.5714285714285714,0.5,0.6666666666666667,1.0,0.8228277922245382,1.0
0.75,0.8682795698924732,0.55,0.18000000000000016,0.7000000000000002,0.06666666666666643,0.40000000000000013,0.33333333333333326,0.39999999999999997,0.0,0.5,0.0,1.0,0.7209602200683416,1.0
1.0,0.7204301075268817,0.025000000000000133,0.020000000000000018,0.5,0.7999999999999998,1.0,0.7,0.2,0.0,0.25,1.0,0.0,0.5635812684017107,1.0
0.0,0.36021505376344076,0.0,0.6800000000000002,0.40000000000000013,0.7999999999999998,0.40000000000000013,0.8333333333333333,0.2,0.7142857142857142,0.0,0.3333333333333333,0.0,0.3203885581655239,0.0
0.75,0.38172043010752676,0.75,0.18000000000000016,0.9000000000000001,0.4666666666666659,0.19999999999999996,0.8,0.0,1.0,0.5,0.6666666666666667,1.0,0.3290924330016547,0.0
0.25,0.9086021505376347,0.3500000000000001,0.3200000000000003,0.5,0.0,0.6000000000000001,0.33333333333333326,0.6000000000000001,0.5714285714285714,0.75,0.0,0.0,0.7650813436203823,1.0
1.0,0.7661290322580647,0.675,0.14000000000000012,0.9000000000000001,0.5999999999999996,0.8,0.0,0.39999999999999997,0.0,0.75,1.0,1.0,0.6398530012249899,1.0
0.0,0.8494623655913978,0.375,0.08000000000000007,0.40000000000000013,0.33333333333333304,1.0,0.6666666666666667,0.39999999999999997,0.8571428571428571,0.5,0.3333333333333333,1.0,0.7145129053749115,1.0
0.5,0.5161290322580647,0.125,0.94,0.40000000000000013,0.5999999999999996,0.19999999999999996,0.3666666666666667,0.2,0.7142857142857142,0.25,0.3333333333333333,0.0,0.48470911865208155,0.0
0.75,0.6344086021505377,0.40000000000000013,0.3799999999999999,0.8,0.06666666666666643,0.0,0.6666666666666667,0.8,0.5714285714285714,0.0,0.0,1.0,0.5353205389955082,1.0
0.25,0.7903225806451613,0.6500000000000001,0.26000000000000023,0.10000000000000009,0.7999999999999998,1.0,0.10000000000000009,0.6000000000000001,0.0,0.5,0.6666666666666667,0.0,0.6856504265973222,1.0
1.0,0.9462365591397852,0.7750000000000001,0.9199999999999999,0.6000000000000001,0.6666666666666661,0.8,0.9666666666666666,0.39999999999999997,0.42857142857142855,0.25,0.6666666666666667,0.0,1.0,1.0
0.0,0.5752688172043012,0.2250000000000001,0.1200000000000001,0.30000000000000004,0.6666666666666661,0.40000000000000013,0.19999999999999996,0.39999999999999997,0.0,0.0,1.0,1.0,0.4131654166039844,0.0
0.5,0.6236559139784947,0.17500000000000004,0.3599999999999999,0.9000000000000001,0.39999999999999947,0.6000000000000001,0.8666666666666667,0.39999999999999997,0.2857142857142857,0.5,0.0,1.0,0.5294749736734654,1.0
0.25,0.9220430107526882,0.5750000000000002,0.08000000000000007,0.0,0.06666666666666643,0.19999999999999996,0.8333333333333333,0.2,0.2857142857142857,0.0,0.3333333333333333,0.0,0.782661021684468,1.0
0.75,0.28494623655914,0.2250000000000001,0.18000000000000016,0.20000000000000018,0.4666666666666659,0.0,0.33333333333333326,0.2,0.0,0.75,1.0,0.0,0.13982076465152282,0.0
1.0,0.6317204301075272,0.6500000000000001,0.8999999999999999,0.0,0.9333333333333327,0.40000000000000013,0.6000000000000001,0.0,0.42857142857142855,0.25,0.6666666666666667,0.0,0.6635791192968128,1.0
0.0,0.9247311827956992,0.7000000000000002,0.7000000000000002,0.0,0.5333333333333332,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.5714285714285714,0.5,1.0,1.0,0.9050740366637298,1.0
0.25,0.5564516129032258,0.7250000000000001,0.7200000000000002,0.5,0.0,0.8,0.3666666666666667,0.8,0.42857142857142855,0.25,1.0,1.0,0.5266381552083557,1.0
0.25,0.5806451612903227,0.40000000000000013,0.7800000000000002,0.8,0.7333333333333334,1.0,0.46666666666666656,0.39999999999999997,1.0,0.25,0.0,0.0,0.5744772302336076,1.0
0.5,0.8629032258064517,0.025000000000000133,0.41999999999999993,0.0,0.33333333333333304,0.40000000000000013,0.5,0.6000000000000001,1.0,0.0,0.3333333333333333,1.0,0.7288044529453481,1.0
1.0,0.38440860215053774,0.8250000000000002,0.28000000000000025,0.9000000000000001,0.5333333333333332,0.6000000000000001,0.16666666666666674,0.6000000000000001,0.14285714285714285,0.0,0.6666666666666667,0.0,0.31445702864756786,0.0
0.75,0.6263440860215053,0.30000000000000004,0.18000000000000016,0.5,0.0,0.8,0.6000000000000001,0.6000000000000001,0.42857142857142855,0.25,0.0,1.0,0.4856547248071177,0.0
0.0,0.8145161290322582,0.4750000000000001,0.8599999999999999,0.7000000000000002,0.0,0.19999999999999996,0.7,0.2,0.42857142857142855,0.25,0.0,1.0,0.7838645204272421,1.0
0.25,0.31989247311827973,0.675,0.6400000000000001,0.20000000000000018,0.1999999999999993,0.0,0.7,0.8,0.14285714285714285,0.5,0.3333333333333333,1.0,0.2953085040080805,0.0
0.5,0.49193548387096775,0.8250000000000002,0.8599999999999999,0.9000000000000001,0.5333333333333332,0.40000000000000013,0.06666666666666665,0.39999999999999997,1.0,0.5,1.0,0.0,0.5064795512668971,0.0
1.0,0.8198924731182797,0.4500000000000002,0.7000000000000002,0.30000000000000004,0.06666666666666643,0.6000000000000001,0.19999999999999996,0.2,0.42857142857142855,0.25,0.6666666666666667,1.0,0.7406675119812602,1.0
0.75,0.8629032258064517,0.42500000000000004,0.6600000000000001,0.9000000000000001,0.8666666666666663,1.0,0.7666666666666666,0.0,0.2857142857142857,0.0,0.0,0.0,0.8456942683372377,1.0
0.0,0.9193548387096777,0.7750000000000001,0.3599999999999999,0.5,1.0,0.40000000000000013,0.16666666666666674,0.6000000000000001,1.0,0.0,0.3333333333333333,1.0,0.8564612838752663,1.0
0.25,0.6344086021505377,0.8,0.6200000000000001,0.10000000000000009,0.9333333333333327,0.19999999999999996,0.7,0.39999999999999997,0.8571428571428571,0.0,1.0,0.0,0.646558208506157,1.0
1.0,0.6102150537634408,0.2250000000000001,0.8599999999999999,0.5,1.0,0.6000000000000001,0.2333333333333334,0.6000000000000001,0.42857142857142855,0.5,0.6666666666666667,0.0,0.5852872278695922,1.0
0.75,0.7526881720430108,0.625,0.28000000000000025,0.8,0.0,0.8,0.8666666666666667,0.39999999999999997,0.7142857142857142,0.0,0.6666666666666667,0.0,0.6744965721776879,1.0
0.5,0.8091397849462367,0.675,0.18000000000000016,0.20000000000000018,0.5999999999999996,0.19999999999999996,0.19999999999999996,0.2,0.2857142857142857,0.5,0.3333333333333333,0.0,0.6870688358298769,1.0
